Name,UniProt ID,Oxidized 24h,Reduced 24h,P-value 24h,Difference 24h,P-value (log) 24h,Significant 24h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 48h,Reduced 48h,P-value 48h,Difference 48h,P-value (log) 48h,Significant 48h,Abundance Check Oxidized,Abundance Check Reduced,Oxidized 72h,Reduced 72h,P-value 72h,Difference 72h,P-value (log) 72h,Significant 72h,Abundance Check Oxidized,Abundance Check Reduced,General abundance check,,
AIM29,P36154,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,2.4003,0,0.30959,2.4003,0.509213076,-,Less,Less,FALSE,All Below Average,FALSE
AIM3,P38266,0,0,0,0,0,-,Less,Less,2.3924,0,0.31731,2.3924,0.498516241,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
AIM33,Q04516,9.137,9.0864,0.90324,0.0506,0.044196838,-,More,More,9.5547,9.4342,0.79969,0.1205,0.097078335,-,More,More,9.3489,8.7276,0.12331,0.6213,0.909001702,-,More,More,All above average,FALSE,FALSE
AIM36,Q03798,7.7359,7.8926,0.72522,-0.1567,0.139530228,-,More,More,7.622,7.35,0.66651,0.272,0.17619333,-,More,More,8.4419,7.552,0.047438,0.8899,1.323873629,-,More,More,All above average,FALSE,FALSE
AIM37,P50945,5.6091,5.3802,0.86099,0.2289,0.065001893,-,Less,Less,5.1238,0,0.1942,5.1238,0.711750774,-,Less,Less,2.8756,0,0.44402,2.8756,0.352597468,-,Less,Less,FALSE,All Below Average,FALSE
AIM39,Q08223,7.2402,8.1447,0.042508,-0.9045,1.371529328,-,More,More,8.0143,7.5885,0.45125,0.4258,0.345582785,-,More,More,7.7343,8.2394,0.26048,-0.5051,0.584225617,-,More,More,All above average,FALSE,FALSE
AIM41,Q12032,8.2705,8.7996,0.20881,-0.5291,0.680248707,-,More,More,8.6094,7.8596,0.20832,0.7498,0.681269033,-,More,More,8.1528,8.1219,0.94305,0.0309,0.025465281,-,More,More,All above average,FALSE,FALSE
AIM43,Q02888,6.9952,5.8665,0.29416,1.1287,0.531416383,-,More,More,6.444,2.8564,0.032624,3.5876,1.486462792,-,More,Less,5.1676,2.5506,0.12838,2.617,0.891502629,-,Less,Less,FALSE,FALSE,Mixed
AIM44,Q99299,6.9221,5.3802,0.15186,1.5419,0.818556604,-,More,Less,5.8405,7.0347,0.12759,-1.1942,0.894183363,-,Less,More,6.2809,5.7853,0.64767,0.4956,0.188646219,-,Less,More,FALSE,FALSE,Mixed
AIM45,Q12480,7.0536,4.6413,0.064881,2.4123,1.187882465,-,More,Less,5.7164,3.0395,0.11087,2.6769,0.955185952,-,Less,Less,4.9758,4.2574,0.6764,0.7184,0.169796401,-,Less,Less,FALSE,FALSE,Mixed
AIM46,P38885,5.1981,6.1359,0.47295,-0.9378,0.32518477,-,Less,More,5.1197,4.1317,0.55622,0.988,0.254753399,-,Less,Less,4.6883,3.8476,0.62522,0.8407,0.203967138,-,Less,Less,FALSE,FALSE,Mixed
AIM5,P38341,8.356,8.2045,0.70822,0.1515,0.149831813,-,More,More,8.5411,7.8151,0.22315,0.726,0.651403109,-,More,More,8.7275,8.9081,0.65435,-0.1806,0.184189893,-,More,More,All above average,FALSE,FALSE
AIM7,Q12156,3.8738,3.698,0.97506,0.1758,0.010968659,-,Less,Less,3.1734,4.6205,0.40087,-1.4471,0.396996444,-,Less,Less,2.3623,0,0.31731,2.3623,0.498516241,-,Less,Less,FALSE,All Below Average,FALSE
AIM9,P40053,5.6395,0,0.31601,5.6395,0.500299174,-,Less,Less,6.0194,5.0356,0.46795,0.9838,0.329800548,-,Less,Less,5.8348,5.185,0.54895,0.6498,0.260467211,-,Less,Less,FALSE,All Below Average,FALSE
AIP1,P46680,0,4.1452,0.31731,-4.1452,0.498516241,-,Less,Less,0,0,0,0,0,-,Less,Less,0,0,0,0,0,-,Less,Less,FALSE,All Below Average,FALSE
AIR1,P40507,10.2058,9.8914,0.37584,0.3144,0.424997001,-,More,More,9.7944,10.0339,0.54214,-0.2395,0.265888549,-,More,More,9.7042,9.835,0.69994,-0.1308,0.154939187,-,More,More,All above average,FALSE,FALSE
AIR2,Q12476,2.969,0,0.31731,2.969,0.498516241,-,Less,Less,2.3924,0,0.31731,2.3924,0.498516241,-,Less,Less,1.6135,0,0.49459,1.6135,0.305754669,-,Less,Less,FALSE,All Below Average,FALSE
AKL1,P38080,7.4714,7.8479,0.39852,-0.3765,0.399549878,-,More,More,7.7142,7.3901,0.60761,0.3241,0.216375087,-,More,More,7.4576,8.0492,0.18759,-0.5916,0.726790317,-,More,More,All above average,FALSE,FALSE
ALB1,P47019,8.2778,9.2925,0.01594,-1.0147,1.797511683,-,More,More,8.2025,8.5786,0.52804,-0.3761,0.277333178,-,More,More,8.7783,8.6288,0.71103,0.1495,0.148112075,-,More,More,All above average,FALSE,FALSE
ALD3,P54114 P40047,10.0487,10.1227,0.83497,-0.074,0.078329128,-,More,More,9.6581,9.9895,0.399,-0.3314,0.399027104,-,More,More,9.7691,10.1078,0.31822,-0.3387,0.497272529,-,More,More,All above average,FALSE,FALSE
ALD4,P54114 P46367,8.8602,7.8794,0.015429,0.9808,1.811662221,-,More,More,8.1686,8.1155,0.92896,0.0531,0.032002986,-,More,More,8.1271,7.653,0.29086,0.4741,0.536316,-,More,More,All above average,FALSE,FALSE
ALD5,P47771 P40047,7.5259,6.8855,0.34827,0.6404,0.458083934,-,More,More,7.8522,8.3969,0.36082,-0.5447,0.442709398,-,More,More,7.8201,8.0861,0.55343,-0.266,0.256937303,-,More,More,All above average,FALSE,FALSE
ALG12,P53730,8.2052,8.509,0.45313,-0.3038,0.343777184,-,More,More,8.0228,8.5662,0.36195,-0.5434,0.441351419,-,More,More,8.4268,8.0947,0.44244,0.3321,0.354145616,-,More,More,All above average,FALSE,FALSE
ALG5,P40350,8.3768,8.2045,0.67045,0.1723,0.173633605,-,More,More,7.5412,7.8307,0.60851,-0.2895,0.21573228,-,More,More,7.796,8.2013,0.36651,-0.4053,0.435914171,-,More,More,All above average,FALSE,FALSE
ALG6,Q12001,7.3374,6.2296,0.22483,1.1078,0.64814574,-,More,More,7.1742,6.8869,0.71402,0.2873,0.146289623,-,More,More,7.4363,6.3657,0.069685,1.0706,1.156860696,-,More,More,All above average,FALSE,FALSE
ALG8,P40351,5.1566,3.698,0.30007,1.4586,0.522777422,-,Less,Less,6.8416,3.0395,0.023548,3.8021,1.628045973,-,More,Less,6.6434,4.8389,0.096071,1.8045,1.017407689,-,More,Less,FALSE,FALSE,Mixed
